,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,792103100003416,44830781,2458202.810924488,58202.3078125,19.5551834,0.085687317,0,zg,213.0118868,52.3405373,0.864000022,-0.061999999,20180325307801,792,0x3,0x1,20.8400002,26.3321667,0.0414031893,-0.0938526317,5.07602599e-05,30,1.19700003,2
1,792103100003416,44834302,2458202.8461326514,58202.3430208,19.5257339,0.0839607269,0,zg,213.011959,52.3406317,1.35599995,-0.108000003,20180325342975,792,0x3,0x1,21.4300003,26.3377342,0.0330983587,-0.0798860863,2.89324489e-05,30,1.125,1
2,792103100003416,44834888,2458202.8520007306,58202.3488889,19.5302925,0.0842260271,0,zg,213.0119635,52.3406114,0.731999993,0.0170000009,20180325348877,792,0x3,0x1,21.4200001,26.3402939,0.0315706842,-0.0879966393,2.64244845e-05,30,1.11600006,2
3,792103100003416,44836557,2458202.8686904665,58202.3655787,19.5186272,0.083548516,0,zg,213.0119686,52.3406228,0.404000014,0.0280000009,20180325365567,792,0x3,0x1,21.6100006,26.338625,0.0270173866,-0.0809676871,1.90960982e-05,30,1.09599996,2
4,792103100003416,44934680,2458203.849912971,58203.3468056,19.6054478,0.0887031406,0,zg,213.0120652,52.340554,0.569000006,-0.0199999996,20180326346782,792,0x3,0x1,20.8199997,26.3574409,0.037287578,-0.104882821,4.16903786e-05,30,1.11500001,2
5,792103100003416,44936233,2458203.8654452986,58203.362338,19.5477486,0.0852485821,0,zg,213.0119703,52.3405878,1.24199998,0.0759999976,20180326362326,792,0x3,0x1,20.7900009,26.3477478,0.0392333344,-0.122453377,4.77474496e-05,30,1.09599996,2
6,792103100003416,44938700,2458203.8901094752,58203.3870023,19.6316338,0.0903083235,0,zg,213.0120669,52.3406245,0.296999991,0.0280000009,20180326386956,792,0x3,0x1,21.3199997,26.3136272,0.0374286026,-0.0605043173,3.66328859e-05,30,1.079,2
7,792103100003416,44940796,2458203.911070079,58203.407963,19.6687412,0.0926224217,0,zg,213.0119438,52.3405809,0.374000013,-0.00600000005,20180326407951,792,0x3,0x1,21.2999992,26.3277225,0.0331968591,-0.0592592396,2.9461793e-05,30,1.074,2
8,792103100003416,45030548,2458204.80858834,58204.3054861,19.7183571,0.0957874507,0,zg,213.0122724,52.3406397,0.637000024,0.0329999998,20180327305463,792,0x3,0x1,20.0100002,26.3473549,0.0453426354,-0.106315047,0.000104248116,30,1.18900001,2
9,792103100003416,45032575,2458204.8288544375,58204.3257523,19.4838028,0.0815542117,0,zg,213.0121335,52.3406148,0.785000026,0.165000007,20180327325741,792,0x3,0x1,20.3700008,26.3598042,0.0408902727,-0.110899307,6.07509719e-05,30,1.14499998,2
10,792103100003416,45035994,2458204.8630440524,58204.3599421,19.580677,0.0872061402,0,zg,213.0119047,52.3406751,0.39199999,0.0160000008,20180327359919,792,0x3,0x1,20.4400005,26.353672,0.0380170271,-0.0938832238,5.26602635e-05,30,1.09599996,2
