Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,1243108300001054,137434100,2459128.8458504267,59128.3410069,19.7274399,0.143761903,0,zg,23.8818567,-28.9859555,0.778999984,-0.361999989,20201006341007,1243,0x8,0x3,19.8099995,25.8293667,0.0393768884,-0.0313922986,0.000101692007,30,2.08299994,2
1,1243108300001054,137434148,2459128.8463250296,59128.3414815,19.9681129,0.157350868,0,zg,23.8819548,-28.98581,0.528999984,-0.382999986,20201006341470,1243,0x8,0x3,20.0200005,25.8030281,0.0535451584,-0.02648535,0.000156897353,30,2.08200002,3
2,1243108300001054,137539811,2459129.9029490086,59129.3981134,20.3302135,0.161102876,0,zg,23.8815831,-28.9860312,0.846000016,-0.240999997,20201007398113,1243,0x8,0x3,20.4200001,26.0159378,0.0372589715,-0.0330508314,5.86472161e-05,30,2.18300009,3
3,1243108300001054,138130958,2459135.814346296,59135.3095833,20.6939907,0.15328455,0,zg,23.8817409,-28.9859631,0.964999974,0.0359999985,20201013309583,1243,0x8,0x3,21.3099995,26.0476398,0.0348208547,-0.05420807,3.7017373e-05,30,2.11899996,2
4,1243108300001054,138131005,2459135.8148208875,59135.3100579,20.4817162,0.150545269,0,zg,23.8819411,-28.9859415,1.00600004,0.215000004,20201013310058,1243,0x8,0x3,21.3600006,26.0444031,0.0314380042,-0.0537238941,3.03277793e-05,30,2.11800003,3
5,1243108300001054,139128944,2459145.7939764806,59145.2894444,20.7135715,0.153738379,0,zg,23.8819826,-28.9858928,0.683000028,0.0480000004,20201023289421,1243,0x8,0x3,21.5599995,26.1075268,0.0336723812,-0.0644044355,3.37980564e-05,30,2.08200002,2
6,1243108300001054,139128991,2459145.794451063,59145.289919,20.6894226,0.153178662,0,zg,23.8819167,-28.9859428,0.721000016,0.0560000017,20201023289907,1243,0x8,0x3,21.5900002,26.1053772,0.0334739834,-0.0663680956,3.30729381e-05,30,2.08100009,3
7,1243108300001054,141424556,2459168.7490913053,59168.2455671,20.4070396,0.157016858,0,zg,23.8820133,-28.9860041,0.675999999,-0.00600000005,20201115245567,1243,0x8,0x3,20.9500008,26.1579494,0.0420331955,-0.069485195,5.80673259e-05,30,2.05200005,2
8,1243108300001054,170643037,2459460.9346932354,59460.4303704,20.2496452,0.163086101,0,zg,23.8818953,-28.985983,0.728999972,0.0410000011,20210903430359,1243,0x8,0x3,21.0400009,26.1151333,0.0491921492,-0.0687505826,7.61649935e-05,30,2.07200003,2
9,1243108300001054,170643083,2459460.935156154,59460.4308333,20.5150566,0.149137139,0,zg,23.8819042,-28.9859235,1.28699994,-0.272000015,20210903430833,1243,0x8,0x3,21.1200008,26.1195431,0.0453335643,-0.0681559294,6.33395539e-05,30,2.0710001,3
10,1243108300001054,176428557,2459518.7898420496,59518.2855787,20.5173416,0.149190098,0,zg,23.8818602,-28.9860322,0.74000001,-0.147,20211031285579,1243,0x8,0x3,21.5900002,26.148035,0.031037949,-0.0593715385,2.86714003e-05,30,2.05200005,2
