Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,679106200003938,44941512,2458203.9176607383,58203.4151273,19.3606949,0.0833451673,0,zg,244.3463286,32.4717027,1.32500005,-0.0359999985,20180326415104,679,0x6,0x2,21.2000008,26.2189064,0.0291088466,-0.0400417857,1.34440252e-05,30,1.08200002,2
1,679106200003938,44942150,2458203.9240383245,58203.4215046,19.6145287,0.100362808,32768,zg,244.3463688,32.4717799,1.051,-0.112999998,20180326421482,679,0x6,0x2,20.2099991,25.2346802,0.0411940329,-0.0329785347,4.6172514e-05,30,1.06799996,1
2,679106200003938,44942245,2458203.924987469,58203.4224537,19.2112312,0.0746015012,32768,zg,244.3463243,32.4718526,0.414999992,-0.141000003,20180326422431,679,0x6,0x2,19.7900009,24.7293053,0.0421287082,-0.0257581938,7.42237025e-05,30,1.06599998,2
3,679106200003938,44949557,2458203.998115791,58203.4955787,19.373806,0.0841566846,0,zg,244.3463373,32.4717338,1.25,0.123999998,20180326495521,679,0x6,0x2,21.3199997,26.2584743,0.0284295902,-0.0320690833,1.25633633e-05,30,1.0,2
4,679106200003938,45040273,2458204.905309216,58204.4027315,19.4485302,0.0889210999,0,zg,244.3463767,32.4717868,0.74000001,-0.0860000029,20180327402697,679,0x6,0x2,20.5200005,26.2596931,0.0341295972,-0.0827226266,2.31937338e-05,30,1.10699999,2
5,679106200003938,45042641,2458204.92899078,58204.426412,19.3648758,0.0836031213,0,zg,244.3463933,32.4718043,1.20000005,-0.00899999961,20180327426389,679,0x6,0x2,20.5799999,26.2678452,0.0348383375,-0.0671292022,2.35720454e-05,30,1.05299997,2
6,679106200003938,45044613,2458204.9487139704,58204.4461343,19.3869171,0.0849754214,0,zg,244.3463047,32.4718038,0.654999971,0.00400000019,20180327446111,679,0x6,0x2,20.5200005,26.2697849,0.0357877277,-0.0525916032,2.55424584e-05,30,1.02400005,2
7,679106200003938,45047314,2458204.975728975,58204.4731481,19.4383354,0.0882570297,0,zg,244.3463367,32.4717955,1.31599998,0.0170000009,20180327473102,679,0x6,0x2,21.4799995,26.2780857,0.0257912502,-0.073042199,1.03844495e-05,30,1.00300002,2
8,679106200003938,45050277,2458205.0053599854,58204.5027778,19.4626236,0.0898464173,0,zg,244.3464164,32.4718064,1.08000004,0.0489999987,20180327502720,679,0x6,0x2,21.2800007,26.271265,0.0314533971,-0.0653881356,1.55858961e-05,30,1.00300002,2
9,679106200003938,45144318,2458205.9458065354,58205.4431829,19.5013294,0.0924317464,0,zg,244.3463799,32.4718496,0.867999971,-0.259000003,20180328443171,679,0x6,0x2,20.4200001,26.192131,0.0362367816,-0.0338677913,2.8593895e-05,30,1.02400005,2
10,679106200003938,45146871,2458205.9713400644,58205.4687153,19.3768044,0.0843432769,0,zg,244.3463149,32.4717794,0.526000023,0.0219999999,20180328468692,679,0x6,0x2,20.8600006,26.2441902,0.0333015807,-0.0395120904,1.92129191e-05,30,1.00300002,2
11,679106200003938,45148820,2458205.990831615,58205.488206,19.4163685,0.0868412778,0,zg,244.3463712,32.4717503,0.344000012,-0.0140000004,20180328488148,679,0x6,0x2,20.7900009,26.2515068,0.0367561728,-0.037442416,2.30961159e-05,30,1.0,2
12,679106200003938,45150643,2458206.0090616127,58205.5064352,19.5219975,0.0938386768,0,zg,244.3463407,32.4717465,0.699000001,-0.0439999998,20180328506412,679,0x6,0x2,21.3999996,26.2378979,0.0278038457,-0.0467601828,1.20552868e-05,30,1.00699997,2
13,679106200003938,45240402,2458206.90669312,58206.4040278,19.499239,0.0922904313,0,zg,244.3463328,32.4716842,0.48300001,0.0590000004,20180329403993,679,0x6,0x2,20.7600002,26.2762814,0.0324060284,-0.0419034287,1.94661352e-05,30,1.08899999,1
14,679106200003938,45240497,2458206.90764226,58206.4049769,19.5770035,0.0976726487,0,zg,244.34632,32.4717547,0.703999996,0.00300000003,20180329404954,679,0x6,0x2,20.7999992,26.2680454,0.0320409462,-0.0451348498,1.88408121e-05,30,1.08700001,2
15,679106200003938,45242219,2458206.924865205,58206.4221991,19.3291569,0.0814228952,0,zg,244.3463764,32.4717404,0.586000025,0.115000002,20180329422176,679,0x6,0x2,20.7700005,26.2810135,0.0313122571,-0.0467703268,1.80992556e-05,30,1.051,2
16,679106200003938,45245231,2458206.954982216,58206.4523148,19.5968513,0.0990880579,0,zg,244.3462991,32.4717293,0.43599999,-0.0250000004,20180329452303,679,0x6,0x2,20.8199997,26.2852497,0.031945847,-0.0411245935,1.7495815e-05,30,1.01199996,2
17,679106200003938,45246527,2458206.9679457727,58206.4652778,19.3638554,0.0835401043,0,zg,244.3463367,32.4717425,0.871999979,-0.0890000015,20180329465255,679,0x6,0x2,20.8700008,26.2820759,0.0332299657,-0.0381235704,1.95465873e-05,30,1.00399995,2
18,679106200003938,45248068,2458206.983351537,58206.4806829,19.4256706,0.0874382704,0,zg,244.3463172,32.4717357,0.361999989,0.0590000004,20180329480671,679,0x6,0x2,20.8899994,26.2627335,0.0305356551,-0.0233440306,1.68776114e-05,30,1.0,2
19,679106200003938,45250533,2458207.00800529,58206.5053356,19.4700928,0.0903403386,0,zg,244.3463726,32.4717889,0.841000021,-0.140000001,20180329505312,679,0x6,0x2,20.9400005,26.2341537,0.0313434228,-0.0170839857,1.66860318e-05,30,1.00800002,1
20,679106200003938,45250627,2458207.008942829,58206.5062731,19.2861843,0.0788706988,0,zg,244.3463682,32.4718044,0.451999992,-0.074000001,20180329506262,679,0x6,0x2,20.7999992,26.1672459,0.0341183022,-0.0247421395,2.0842419e-05,30,1.00800002,2
21,679106200003938,45340896,2458207.9116780977,58207.4089699,19.6012497,0.099403955,0,zg,244.3463198,32.4716985,0.92900002,0.157000005,20180330408947,679,0x6,0x2,20.3999996,26.2596722,0.0340734422,-0.0359720439,2.48655542e-05,30,1.07200003,2
22,679106200003938,45343275,2458207.9354638103,58207.4327546,19.5211868,0.0937831551,0,zg,244.3463373,32.4717495,0.584999979,-0.133000001,20180330432731,679,0x6,0x2,20.3600006,26.2574158,0.0374719314,-0.0277581941,3.07803857e-05,30,1.02999997,2
23,679106200003938,45344424,2458207.9469574,58207.4442477,19.4281197,0.0875960216,0,zg,244.3463214,32.47176,0.442999989,0.00999999978,20180330444225,679,0x6,0x2,20.3500004,26.2691784,0.0386009961,-0.0248837136,3.36809826e-05,30,1.01699996,2
24,679106200003938,45347253,2458207.975245599,58207.4725347,19.3224468,0.0810192823,32768,zg,244.3463036,32.4718109,0.967999995,0.0260000005,20180330472477,679,0x6,0x2,20.2700005,26.2621727,0.0371868983,-0.00478108134,3.18728707e-05,30,1.00100005,2
25,679106200003938,45348305,2458207.9857669463,58207.4830556,19.3559227,0.0830516219,0,zg,244.3463113,32.4717365,1.023,-0.0850000009,20180330483032,679,0x6,0x2,20.4200001,26.2635002,0.0363196582,-0.0106381616,2.85858277e-05,30,1.0,2
26,679106200003938,45350164,2458208.004355628,58207.5016435,19.4661636,0.0900802314,0,zg,244.3463701,32.471673,1.03299999,0.300999999,20180330501586,679,0x6,0x2,20.3999996,26.2575989,0.034297172,-0.0124701513,2.57163647e-05,30,1.00699997,2
27,679106200003938,45641192,2458210.914753063,58210.4119213,19.3299408,0.0814701915,0,zg,244.3463394,32.4717566,0.583999991,-0.063000001,20180402411898,679,0x6,0x2,20.0799999,26.2333374,0.0395941772,-0.0146637652,4.15163267e-05,30,1.04999995,1
28,679106200003938,45643313,2458210.9359692167,58210.4331366,19.353344,0.0828934088,0,zg,244.3463375,32.4718099,1.02199996,-0.0460000001,20180402433113,679,0x6,0x2,20.0300007,26.2596893,0.0373468585,-0.0157484636,3.61638813e-05,30,1.01999998,2
29,679106200003938,45644563,2458210.948469728,58210.4456366,19.4559822,0.0894093066,0,zg,244.3463002,32.4716734,0.754999995,-0.178000003,20180402445567,679,0x6,0x2,20.1599998,26.2622547,0.0389830954,-0.0150944795,3.83330553e-05,30,1.00899994,1
30,679106200003938,45644658,2458210.9494187743,58210.4465856,19.5738087,0.0974463969,0,zg,244.3461585,32.471692,0.433999985,0.172000006,20180402446562,679,0x6,0x2,20.2399998,26.2590618,0.0364901647,-0.0143921534,3.29668765e-05,30,1.00800002,2
31,679106200003938,45742336,2458211.9262399003,58211.4233681,19.2109756,0.0745873526,0,zg,244.3464471,32.4719353,0.65200001,0.223000005,20180403423345,679,0x6,0x2,19.4899998,26.2722073,0.0385217555,-0.0352760218,6.44361135e-05,30,1.028,2
32,679106200003938,47333265,2458227.83603841,58227.3326505,19.4566841,0.0894554481,0,zg,244.346371,32.4717612,0.763000011,0.0419999994,20180419332639,679,0x6,0x2,21.3400002,26.2009926,0.0302765183,-0.0403460637,1.4161943e-05,30,1.12800002,2
33,679106200003938,47333547,2458227.8388624825,58227.3354745,19.3263645,0.0812547281,0,zg,244.3463771,32.4717717,0.550999999,-0.0500000007,20180419335451,679,0x6,0x2,21.2800007,26.1916523,0.0276023615,-0.0302928705,1.19620263e-05,30,1.11899996,2
34,679106200003938,47335863,2458227.862022884,58227.3586343,19.5024662,0.0925086811,0,zg,244.3463007,32.4717697,0.725000024,0.00800000038,20180419358611,679,0x6,0x2,21.1299992,26.2236443,0.0319203734,-0.0244138855,1.62954184e-05,30,1.06299996,2
35,679106200003938,47446425,2458228.9676752323,58228.4642593,19.3744221,0.0841949359,0,zg,244.34633,32.4717476,1.23000002,0.0689999983,20180420464236,679,0x6,0x2,20.9300003,26.2532711,0.0331398137,-0.0413969308,1.84649052e-05,30,1.02600002,2
